PParent,Parent,ObjectName,dist-X,dist-Y,Z
Group 1,Outer_Section_1,2_1 LED 1,0.02442169,42.10004,34.50131
Group 1,Outer_Section_1,2_1 LED 2,0.08113861,70.10004,27.40154
Group 1,Outer_Section_1,2_1 LED 3,0.2313309,151.7,8.602127
Group 1,Outer_Section_1,2_1 LED 4,0.4326248,124.4,-16.59708
Group 1,Outer_Section_1,2_1 Speaker 1,0.3543472,110.9,-6.797379
Group 1,Outer_Section_1,2_1 Speaker 2,0.1570129,47,17.90182
Group 1,Outer_Section_2,2_1 LED 1,-6.518654,25.20001,33.87988
Group 1,Outer_Section_2,2_1 LED 2,-5.1166,131.7,26.91971
Group 1,Outer_Section_2,2_1 LED 3,-1.404129,93.10004,8.489914
Group 1,Outer_Section_2,2_1 LED 4,3.572166,179.9,-16.21387
Group 1,Outer_Section_2,2_1 Speaker 1,1.636932,131.7,-6.606842
Group 1,Outer_Section_2,2_1 Speaker 2,-3.240623,75.60004,17.60678
Group 1,Inner_Section,2_1 LED 1,-14.30261,140.4,19.23653
Group 1,Inner_Section,2_1 LED 2,10.60925,189.5,-19.60853
Group 1,Inner_Section,2_1 LED 3,10.4696,182.8,21.64229
Group 1,Inner_Section,2_1 LED 4,-7.008812,217.4,-21.1096
Group 1,Inner_Section,2_1 Speaker 1,0.5587769,196.2,-9.149185
Group 1,Inner_Section,2_1 Speaker 2,-3.04715,176.7,10.52306
Group 2,Outer_Section_1,2_1 LED 1,-12.44063,68.20001,32.18033
Group 2,Outer_Section_1,2_1 LED 2,-9.637077,118.7,25.65424
Group 2,Outer_Section_1,2_1 LED 3,-2.705856,110.5,8.178589
Group 2,Outer_Section_1,2_1 LED 4,6.027206,166.6,-15.46738
Group 2,Outer_Section_1,2_1 Speaker 1,2.785934,101.8,-6.210327
Group 2,Outer_Section_1,2_1 Speaker 2,-6.041664,27.30005,16.86026
Group 2,Outer_Section_2,2_1 LED 1,-18.31738,46.90002,29.23721
Group 2,Outer_Section_2,2_1 LED 2,-14.32713,77.90002,23.36121
Group 2,Outer_Section_2,2_1 LED 3,-4.207687,111.8,7.517075
Group 2,Outer_Section_2,2_1 LED 4,8.850994,163.2,-14.04375
Group 2,Outer_Section_2,2_1 Speaker 1,3.697777,131.7,-5.232162
Group 2,Outer_Section_2,2_1 Speaker 2,-9.129311,69.90002,15.40869
Group 2,Inner_Section,2_1 LED 1,-20.28587,147.6,12.77087
Group 2,Inner_Section,2_1 LED 2,16.97629,167.6,-14.45174
Group 2,Inner_Section,2_1 LED 3,1.944447,202.4,23.96304
Group 2,Inner_Section,2_1 LED 4,1.090202,206.5,-22.21584
Group 2,Inner_Section,2_1 Speaker 1,3.82613,185.5,-8.329369
Group 2,Inner_Section,2_1 Speaker 2,-6.642788,158.8,8.711792
Group 3,Outer_Section_1,2_1 LED 1,-23.22533,42.09998,25.51323
Group 3,Outer_Section_1,2_1 LED 2,-18.25361,70.09998,20.44055
Group 3,Outer_Section_1,2_1 LED 3,-5.477531,151.7,6.648819
Group 3,Outer_Section_1,2_1 LED 4,11.20765,124.4,-12.24574
Group 3,Outer_Section_1,2_1 Speaker 1,4.84124,110.9,-4.784592
Group 3,Outer_Section_1,2_1 Speaker 2,-11.72427,47,13.53926
Group 3,Outer_Section_2,2_1 LED 1,-27.64207,25.19995,20.64594
Group 3,Outer_Section_2,2_1 LED 2,-21.79861,131.7,16.60815
Group 3,Outer_Section_2,2_1 LED 3,-6.638992,93.09998,5.489426
Group 3,Outer_Section_2,2_1 LED 4,13.32651,179.9,-9.898193
Group 3,Outer_Section_2,2_1 Speaker 1,5.338165,131.7,-3.543152
Group 3,Outer_Section_2,2_1 Speaker 2,-14.07903,75.59998,11.07028
Group 3,Inner_Section,2_1 LED 1,-23.52934,140.4,4.580368
Group 3,Inner_Section,2_1 LED 2,21.0505,189.5,-7.34346
Group 3,Inner_Section,2_1 LED 3,-6.843197,182.8,23.04718
Group 3,Inner_Section,2_1 LED 4,9.041855,217.4,-20.32198
Group 3,Inner_Section,2_1 Speaker 1,6.576698,196.2,-6.384872
Group 3,Inner_Section,2_1 Speaker 2,-9.341221,176.7,5.723793
Group 4,Outer_Section_1,2_1 LED 1,-30.87349,68.20001,15.40034
Group 4,Outer_Section_1,2_1 LED 2,-24.40506,118.7,12.46626
Group 4,Outer_Section_1,2_1 LED 3,-7.509552,110.5,4.22113
Group 4,Outer_Section_1,2_1 LED 4,14.87444,166.6,-7.370026
Group 4,Outer_Section_1,2_1 Speaker 1,6.242676,101.8,-2.712601
Group 4,Outer_Section_1,2_1 Speaker 2,-15.82355,27.29999,8.389648
Group 4,Outer_Section_2,2_1 LED 1,-33.2337,46.89996,9.26622
Group 4,Outer_Section_2,2_1 LED 2,-26.32623,77.89996,7.612015
Group 4,Outer_Section_2,2_1 LED 3,-8.173752,111.8,2.720482
Group 4,Outer_Section_2,2_1 LED 4,16.00217,163.2,-4.415588
Group 4,Outer_Section_2,2_1 Speaker 1,6.257568,131.7,-1.375443
Group 4,Outer_Section_2,2_1 Speaker 2,-17.12741,69.89996,5.236771
Group 4,Inner_Section,2_1 LED 1,-23.59512,147.6,-4.228722
Group 4,Inner_Section,2_1 LED 2,22.2817,167.6,0.7568741
Group 4,Inner_Section,2_1 LED 3,-14.70684,202.4,19.01885
Group 4,Inner_Section,2_1 LED 4,15.77238,206.5,-15.68326
Group 4,Inner_Section,2_1 Speaker 1,8.439003,185.5,-3.577843
Group 4,Inner_Section,2_1 Speaker 2,-10.77818,158.8,1.96286
Group 5,Outer_Section_1,2_1 LED 1,-34.35187,42.09998,3.207691
Group 5,Outer_Section_1,2_1 LED 2,-27.2603,70.09998,2.808369
Group 5,Outer_Section_1,2_1 LED 3,-8.527237,151.7,1.223354
Group 5,Outer_Section_1,2_1 LED 4,16.53246,124.4,-1.499165
Group 5,Outer_Section_1,2_1 Speaker 1,6.801071,110.9,-0.2743454
Group 5,Outer_Section_1,2_1 Speaker 2,-17.78569,47,2.107052
Group 5,Outer_Section_2,2_1 LED 1,-34.33684,25.19995,-3.364807
Group 5,Outer_Section_2,2_1 LED 2,-27.29822,131.7,-2.412041
Group 5,Outer_Section_2,2_1 LED 3,-8.604492,93.09998,-0.4159184
Group 5,Outer_Section_2,2_1 LED 4,16.51675,179.9,1.66317
Group 5,Outer_Section_2,2_1 Speaker 1,6.33194,131.7,0.9778938
Group 5,Outer_Section_2,2_1 Speaker 2,-17.86255,75.59998,-1.303936
Group 5,Inner_Section,2_1 LED 1,-20.47416,140.4,-12.46667
Group 5,Inner_Section,2_1 LED 2,20.50377,189.5,8.754761
Group 5,Inner_Section,2_1 LED 3,-20.58396,182.8,12.42186
Group 5,Inner_Section,2_1 LED 4,20.37284,217.4,-8.926653
Group 5,Inner_Section,2_1 Speaker 1,9.161705,196.2,-0.2877769
Group 5,Inner_Section,2_1 Speaker 2,-10.75933,176.7,-2.063194
Group 6,Outer_Section_1,2_1 LED 1,-33.19093,68.19995,-9.418339
Group 6,Outer_Section_1,2_1 LED 2,-26.43402,118.7,-7.228897
Group 6,Outer_Section_1,2_1 LED 3,-8.393387,110.4999,-1.939686
Group 6,Outer_Section_1,2_1 LED 4,15.9575,166.6,4.574345
Group 6,Outer_Section_1,2_1 Speaker 1,6.440872,101.8,2.201035
Group 6,Outer_Section_1,2_1 Speaker 2,-17.34581,27.29993,-4.46022
Group 6,Outer_Section_2,2_1 LED 1,-30.8026,46.89996,-15.54158
Group 6,Outer_Section_2,2_1 LED 2,-24.58349,77.89996,-12.11052
Group 6,Outer_Section_2,2_1 LED 3,-7.873253,111.8,-3.496155
Group 6,Outer_Section_2,2_1 LED 4,14.80051,163.2,7.517433
Group 6,Outer_Section_2,2_1 Speaker 1,5.551033,131.7,3.199234
Group 6,Outer_Section_2,2_1 Speaker 2,-16.1853,69.89996,-7.66864
Group 6,Inner_Section,2_1 LED 1,-14.58813,147.6,-19.02099
Group 6,Inner_Section,2_1 LED 2,15.95647,167.6,15.57043
Group 6,Inner_Section,2_1 LED 3,-23.6814,202.4,4.147179
Group 6,Inner_Section,2_1 LED 4,22.22168,206.5,-0.9642715
Group 6,Inner_Section,2_1 Speaker 1,8.646877,185.5,3.041267
Group 6,Inner_Section,2_1 Speaker 2,-9.287537,158.8,-5.810627
Group 7,Outer_Section_1,2_1 LED 1,-27.54735,42.09998,-20.77219
Group 7,Outer_Section_1,2_1 LED 2,-22.03758,70.09998,-16.2897
Group 7,Outer_Section_1,2_1 LED 3,-7.125877,151.7,-4.840668
Group 7,Outer_Section_1,2_1 LED 4,13.22762,124.4,10.02997
Group 7,Outer_Section_1,2_1 Speaker 1,5.210884,110.9,4.379135
Group 7,Outer_Section_1,2_1 Speaker 2,-14.56329,47,-10.425
Group 7,Outer_Section_2,2_1 LED 1,-23.10837,25.20001,-25.61919
Group 7,Outer_Section_2,2_1 LED 2,-18.54865,131.7,-20.17319
Group 7,Outer_Section_2,2_1 LED 3,-6.07859,93.09998,-6.104156
Group 7,Outer_Section_2,2_1 LED 4,11.08556,179.9,12.35638
Group 7,Outer_Section_2,2_1 Speaker 1,4.020569,131.7,4.988495
Group 7,Outer_Section_2,2_1 Speaker 2,-12.32211,75.59998,-12.99751
Group 7,Inner_Section,2_1 LED 1,-6.731853,140.4,-23.00632
Group 7,Inner_Section,2_1 LED 2,9.254414,189.5,20.28317
Group 7,Inner_Section,2_1 LED 3,-23.58029,182.8,-4.687439
Group 7,Inner_Section,2_1 LED 4,21.06955,217.4,7.128242
Group 7,Inner_Section,2_1 Speaker 1,6.964447,196.2,5.959557
