PParent,Parent,ObjectName,x,y,z
Group 1,Outer_Section_1,2_1 LED 1,212.9052,175.3251,0
Group 1,Outer_Section_1,2_1 LED 2,212.8484,147.3251,7.099777
Group 1,Outer_Section_1,2_1 LED 3,212.6983,65.7251,25.89919
Group 1,Outer_Section_1,2_1 LED 4,212.497,93.02509,51.09839
Group 1,Outer_Section_1,2_1 Speaker 1,212.5752,106.5251,41.29869
Group 1,Outer_Section_1,2_1 Speaker 2,212.7726,170.4251,16.59949
Group 1,Outer_Section_2,2_1 LED 1,253.5007,192.2251,3.7771
Group 1,Outer_Section_2,2_1 LED 2,252.0986,85.7251,10.73727
Group 1,Outer_Section_2,2_1 LED 3,248.3861,124.3251,29.16707
Group 1,Outer_Section_2,2_1 LED 4,243.4098,37.52509,53.87085
Group 1,Outer_Section_2,2_1 Speaker 1,245.3451,85.7251,44.26382
Group 1,Outer_Section_2,2_1 Speaker 2,250.2226,141.8251,20.0502
Group 1,Inner_Section,G1In LED 1,237.8047,77.00012,85.20532
Group 1,Inner_Section,2_1 LED 2,212.8928,27.90009,124.0504
Group 1,Inner_Section,2_1 LED 3,213.0325,34.6001,82.79956
Group 1,Inner_Section,2_1 LED 4,230.5109,9.155273E-05,125.5514
Group 1,Inner_Section,2_1 Speaker 1,222.9433,21.2001,113.591
Group 1,Inner_Section,2_1 Speaker 2,226.5492,40.7001,93.91879
Group 2,Outer_Section_1,2_1 LED 1,290.3167,149.2252,14.29529
Group 2,Outer_Section_1,2_1 LED 2,287.5131,98.72516,20.82138
Group 2,Outer_Section_1,2_1 LED 3,280.5819,106.9252,38.29703
Group 2,Outer_Section_1,2_1 LED 4,271.8488,50.82513,61.94299
Group 2,Outer_Section_1,2_1 Speaker 1,275.0901,115.6251,52.68594
Group 2,Outer_Section_1,2_1 Speaker 2,283.9177,190.1251,29.61536
Group 2,Outer_Section_2,2_1 LED 1,326.8063,170.5251,32.48224
Group 2,Outer_Section_2,2_1 LED 2,322.8161,139.5251,38.35825
Group 2,Outer_Section_2,2_1 LED 3,312.6966,105.6251,54.20238
Group 2,Outer_Section_2,2_1 LED 4,299.6379,54.22513,75.7632
Group 2,Outer_Section_2,2_1 Speaker 1,304.7912,85.72516,66.95161
Group 2,Outer_Section_2,2_1 Speaker 2,317.6183,147.5251,46.31076
Group 2,Inner_Section,2_1 LED 1,282.7548,69.80011,102.7415
Group 2,Inner_Section,2_1 LED 2,245.4926,49.80008,129.9642
Group 2,Inner_Section,2_1 LED 3,260.5245,15.00012,91.54938
Group 2,Inner_Section,2_1 LED 4,261.3787,10.90009,137.7283
Group 2,Inner_Section,2_1 Speaker 1,258.6428,31.90009,123.8418
Group 2,Inner_Section,2_1 Speaker 2,269.1117,58.6001,106.8006
Group 3,Outer_Section_1,2_1 LED 1,357.3356,175.3251,55.58899
Group 3,Outer_Section_1,2_1 LED 2,352.3639,147.3251,60.66167
Group 3,Outer_Section_1,2_1 LED 3,339.5878,65.72507,74.4534
Group 3,Outer_Section_1,2_1 LED 4,322.9026,93.02502,93.34796
Group 3,Outer_Section_1,2_1 Speaker 1,329.269,106.525,85.88681
Group 3,Outer_Section_1,2_1 Speaker 2,345.8345,170.425,67.56296
Group 3,Outer_Section_2,2_1 LED 1,384.7914,192.2251,85.72931
Group 3,Outer_Section_2,2_1 LED 2,378.948,85.7251,89.76709
Group 3,Outer_Section_2,2_1 LED 3,363.7883,124.3251,100.8858
Group 3,Outer_Section_2,2_1 LED 4,343.8228,37.52509,116.2734
Group 3,Outer_Section_2,2_1 Speaker 1,351.8112,85.7251,109.9184
Group 3,Outer_Section_2,2_1 Speaker 2,371.2284,141.8251,95.30496
Group 3,Inner_Section,2_1 LED 1,318.3341,77.00006,135.3312
Group 3,Inner_Section,2_1 LED 2,273.7543,27.90005,147.255
Group 3,Inner_Section,2_1 LED 3,301.648,34.60007,116.8643
Group 3,Inner_Section,2_1 LED 4,285.7629,6.103516E-05,160.2335
Group 3,Inner_Section,2_1 Speaker 1,288.2281,21.20007,146.2964
Group 3,Inner_Section,2_1 Speaker 2,304.146,40.70007,134.1877
Group 4,Outer_Section_1,2_1 LED 1,404.9127,149.2251,118.3051
Group 4,Outer_Section_1,2_1 LED 2,398.4443,98.7251,121.2392
Group 4,Outer_Section_1,2_1 LED 3,381.5488,106.9251,129.4843
Group 4,Outer_Section_1,2_1 LED 4,359.1648,50.82507,141.0755
Group 4,Outer_Section_1,2_1 Speaker 1,367.7965,115.6251,136.4181
Group 4,Outer_Section_1,2_1 Speaker 2,389.8628,190.1251,125.3158
Group 4,Outer_Section_2,2_1 LED 1,419.6264,170.5251,156.3284
Group 4,Outer_Section_2,2_1 LED 2,412.719,139.5251,157.9826
Group 4,Outer_Section_2,2_1 LED 3,394.5665,105.6251,162.8741
Group 4,Outer_Section_2,2_1 LED 4,370.3906,54.22507,170.0102
Group 4,Outer_Section_2,2_1 Speaker 1,380.1352,85.7251,166.97
Group 4,Outer_Section_2,2_1 Speaker 2,403.5201,147.5251,160.3578
Group 4,Inner_Section,2_1 LED 1,339.7386,69.80005,178.5733
Group 4,Inner_Section,2_1 LED 2,293.8617,49.80002,173.5877
Group 4,Inner_Section,2_1 LED 3,330.8503,15.00006,155.3257
Group 4,Inner_Section,2_1 LED 4,300.371,10.90002,190.0278
Group 4,Inner_Section,2_1 Speaker 1,307.7044,31.90002,177.9224
Group 4,Inner_Section,2_1 Speaker 2,326.9216,58.60004,172.3817
Group 5,Outer_Section_1,2_1 LED 1,426.6209,175.3251,193.9719
Group 5,Outer_Section_1,2_1 LED 2,419.5293,147.3251,194.3712
Group 5,Outer_Section_1,2_1 LED 3,400.7963,65.72507,195.9562
Group 5,Outer_Section_1,2_1 LED 4,375.7366,93.02509,198.6788
Group 5,Outer_Section_1,2_1 Speaker 1,385.468,106.5251,197.4539
Group 5,Outer_Section_1,2_1 Speaker 2,410.0547,170.425,195.0725
Group 5,Outer_Section_2,2_1 LED 1,426.6056,192.2251,234.7427
Group 5,Outer_Section_2,2_1 LED 2,419.567,85.7251,233.7899
Group 5,Outer_Section_2,2_1 LED 3,400.8733,124.3251,231.7938
Group 5,Outer_Section_2,2_1 LED 4,375.752,37.52509,229.7147
Group 5,Outer_Section_2,2_1 Speaker 1,385.9368,85.7251,230.4
Group 5,Outer_Section_2,2_1 Speaker 2,410.1313,141.8251,232.6819
Group 5,Inner_Section,2_1 LED 1,344.0765,77.00006,226.6269
Group 5,Inner_Section,2_1 LED 2,303.0986,27.90005,205.4055
Group 5,Inner_Section,2_1 LED 3,344.1863,34.60007,201.7384
Group 5,Inner_Section,2_1 LED 4,303.2295,6.103516E-05,223.0869
Group 5,Inner_Section,2_1 Speaker 1,314.4406,21.20007,214.448
Group 5,Inner_Section,2_1 Speaker 2,334.3617,40.70007,216.2235
Group 6,Outer_Section_1,2_1 LED 1,419.5292,149.2251,272.3722
Group 6,Outer_Section_1,2_1 LED 2,412.7723,98.7251,270.1827
Group 6,Outer_Section_1,2_1 LED 3,394.7317,106.9251,264.8935
Group 6,Outer_Section_1,2_1 LED 4,370.3808,50.82507,258.3795
Group 6,Outer_Section_1,2_1 Speaker 1,379.8974,115.6251,260.7528
Group 6,Outer_Section_1,2_1 Speaker 2,403.6841,190.1251,267.414
Group 6,Outer_Section_2,2_1 LED 1,404.7867,170.5251,310.3842
Group 6,Outer_Section_2,2_1 LED 2,398.5676,139.5251,306.9532
Group 6,Outer_Section_2,2_1 LED 3,381.8574,105.6251,298.3388
Group 6,Outer_Section_2,2_1 LED 4,359.1836,54.22507,287.3252
Group 6,Outer_Section_2,2_1 Speaker 1,368.4331,85.7251,291.6434
Group 6,Outer_Section_2,2_1 Speaker 2,390.1694,147.5251,302.5113
Group 6,Inner_Section,2_1 LED 1,330.7626,69.80005,273.0033
Group 6,Inner_Section,2_1 LED 2,300.218,49.80002,238.4119
Group 6,Inner_Section,2_1 LED 3,339.8558,15.00006,249.8352
Group 6,Inner_Section,2_1 LED 4,293.9528,10.90002,254.9466
Group 6,Inner_Section,2_1 Speaker 1,307.5276,31.90002,250.9411
Group 6,Inner_Section,2_1 Speaker 2,325.462,58.60004,259.793
Group 7,Outer_Section_1,2_1 LED 1,384.5954,175.325,342.9153
Group 7,Outer_Section_1,2_1 LED 2,379.0856,147.325,338.4329
Group 7,Outer_Section_1,2_1 LED 3,364.1739,65.72501,326.9838
Group 7,Outer_Section_1,2_1 LED 4,343.8204,93.02502,312.1132
Group 7,Outer_Section_1,2_1 Speaker 1,351.8372,106.525,317.764
Group 7,Outer_Section_1,2_1 Speaker 2,371.6113,170.425,332.5681
Group 7,Outer_Section_2,2_1 LED 1,357.117,192.225,373.035
Group 7,Outer_Section_2,2_1 LED 2,352.5573,85.72498,367.5891
Group 7,Outer_Section_2,2_1 LED 3,340.0872,124.325,353.52
Group 7,Outer_Section_2,2_1 LED 4,322.923,37.52502,335.0594
Group 7,Outer_Section_2,2_1 Speaker 1,329.988,85.72498,342.4274
Group 7,Outer_Section_2,2_1 Speaker 2,346.3307,141.825,360.4134
Group 7,Inner_Section,2_1 LED 1,301.5948,77,311.4379
Group 7,Inner_Section,2_1 LED 2,285.6085,27.89999,268.1484
Group 7,Inner_Section,2_1 LED 3,318.4432,34.60001,293.119
Group 7,Inner_Section,2_1 LED 4,273.7934,0,281.3033
Group 7,Inner_Section,2_1 Speaker 1,287.8985,21.20001,282.472
Group 7,Inner_Section,2_1 Speaker 2,301.4242,40.70001,297.2048
Group 8,Outer_Section_1,2_1 LED 1,326.5367,149.2251,396.0762
Group 8,Outer_Section_1,2_1 LED 2,323.0183,98.7251,389.9061
Group 8,Outer_Section_1,2_1 LED 3,313.2494,106.925,373.8434
Group 8,Outer_Section_1,2_1 LED 4,299.6424,50.82501,352.6244
Group 8,Outer_Section_1,2_1 Speaker 1,305.0764,115.6251,360.7896
Group 8,Outer_Section_1,2_1 Speaker 2,318.1673,190.1251,381.7373
Group 8,Outer_Section_2,2_1 LED 1,290.0333,170.525,414.2355
Group 8,Outer_Section_2,2_1 LED 2,287.7488,139.525,407.5101
Group 8,Outer_Section_2,2_1 LED 3,281.2032,105.6251,389.8864
Group 8,Outer_Section_2,2_1 LED 4,271.8669,54.22504,366.472
Group 8,Outer_Section_2,2_1 Speaker 1,275.7932,85.72504,375.8946
Group 8,Outer_Section_2,2_1 Speaker 2,284.5349,147.525,398.5697
Group 8,Inner_Section,2_1 LED 1,260.5121,69.79999,336.7409
Group 8,Inner_Section,2_1 LED 2,261.2435,49.79999,290.5998
Group 8,Inner_Section,2_1 LED 3,282.8404,15.00003,325.7455
Group 8,Inner_Section,2_1 LED 4,245.4741,10.89999,298.5982
Group 8,Inner_Section,2_1 Speaker 1,258.2045,31.89999,304.7834
Group 8,Inner_Section,2_1 Speaker 2,265.4947,58.60001,323.4073
Group 9,Outer_Section_1,2_1 LED 1,253.1957,175.3251,424.6734
Group 9,Outer_Section_1,2_1 LED 2,252.1437,147.3251,417.6489
Group 9,Outer_Section_1,2_1 LED 3,248.837,65.7251,399.142
Group 9,Outer_Section_1,2_1 LED 4,243.8139,93.02509,374.4404
Group 9,Outer_Section_1,2_1 Speaker 1,245.9314,106.5251,384.0173
Group 9,Outer_Section_1,2_1 Speaker 2,250.5712,170.4251,408.2794
Group 9,Outer_Section_2,2_1 LED 1,212.5974,192.2251,428.42
Group 9,Outer_Section_2,2_1 LED 2,212.8966,85.7251,421.3235
Group 9,Outer_Section_2,2_1 LED 3,213.1594,124.3251,402.5254
Group 9,Outer_Section_2,2_1 LED 4,212.9117,37.52512,377.3195
Group 9,Outer_Section_2,2_1 Speaker 1,213.1691,85.7251,387.524
Group 9,Outer_Section_2,2_1 Speaker 2,213.1294,141.8251,411.8259
Group 9,Inner_Section,2_1 LED 1,213.0637,77.00012,345.4942
Group 9,Inner_Section,2_1 LED 2,230.4136,27.90009,302.733
Group 9,Inner_Section,2_1 LED 3,237.8562,34.6001,343.3071
Group 9,Inner_Section,2_1 LED 4,212.8197,9.155273E-05,304.4948
Group 9,Inner_Section,2_1 Speaker 1,222.4562,21.2001,314.861
Group 9,Inner_Section,2_1 Speaker 2,222.5264,40.7001,334.8609
Group 10,Outer_Section_1,2_1 LED 1,174.4755,149.2252,424.8459
Group 10,Outer_Section_1,2_1 LED 2,176.0322,98.72516,417.9158
Group 10,Outer_Section_1,2_1 LED 3,179.6342,106.9252,399.4641
Group 10,Outer_Section_1,2_1 LED 4,183.8737,50.82513,374.616
Group 10,Outer_Section_1,2_1 Speaker 1,182.3886,115.6251,384.311
Group 10,Outer_Section_1,2_1 Speaker 2,177.9505,190.1251,408.6109
Group 10,Outer_Section_2,2_1 LED 1,135.2653,170.5251,413.6736
Group 10,Outer_Section_2,2_1 LED 2,138.1079,139.5251,407.1644
Group 10,Outer_Section_2,2_1 LED 3,145.1437,105.6251,389.7306
Group 10,Outer_Section_2,2_1 LED 4,154.0182,54.22513,366.1374
Group 10,Outer_Section_2,2_1 Speaker 1,150.5719,85.72516,375.7458
Group 10,Outer_Section_2,2_1 Speaker 2,141.756,147.5251,398.3922
Group 10,Inner_Section,2_1 LED 1,165.6567,69.80011,336.5161
Group 10,Inner_Section,2_1 LED 2,197.2823,49.80008,302.9101
Group 10,Inner_Section,2_1 LED 3,189.565,15.00012,343.4329
Group 10,Inner_Section,2_1 LED 4,180.24,10.90009,298.1972
Group 10,Inner_Section,2_1 Speaker 1,185.481,31.90009,311.3445
Group 10,Inner_Section,2_1 Speaker 2,178.3216,58.6001,330.0192
Group 11,Outer_Section_1,2_1 LED 1,101.01,175.325,396.57
Group 11,Outer_Section_1,2_1 LED 2,104.9649,147.325,390.6701
Group 11,Outer_Section_1,2_1 LED 3,114.9893,65.72504,374.7657
Group 11,Outer_Section_1,2_1 LED 4,127.9185,93.02502,353.1269
Group 11,Outer_Section_1,2_1 Speaker 1,123.0314,106.525,361.6308
Group 11,Outer_Section_1,2_1 Speaker 2,110.115,170.425,382.6866
Group 11,Outer_Section_2,2_1 LED 1,68.48337,192.225,371.9879
Group 11,Outer_Section_2,2_1 LED 2,73.48541,85.72504,366.9451
Group 11,Outer_Section_2,2_1 LED 3,86.34384,124.325,353.2301
Group 11,Outer_Section_2,2_1 LED 4,103.1419,37.52505,334.4359
Group 11,Outer_Section_2,2_1 Speaker 1,96.45734,85.72504,342.1505
Group 11,Outer_Section_2,2_1 Speaker 2,80.05595,141.8251,360.0831
Group 11,Inner_Section,2_1 LED 1,124.6948,77,311.0191
Group 11,Inner_Section,2_1 LED 2,166.3246,27.90002,291.1067
Group 11,Inner_Section,2_1 LED 3,144.4901,34.60004,326.1054
Group 11,Inner_Section,2_1 LED 4,152.1356,3.051758E-05,280.5558
Group 11,Inner_Section,2_1 Speaker 1,152.2734,21.20004,294.7086
Group 11,Inner_Section,2_1 Speaker 2,138.8514,40.70004,309.5359
Group 12,Outer_Section_1,2_1 LED 1,42.71893,149.2251,343.664
Group 12,Outer_Section_1,2_1 LED 2,48.53809,98.7251,339.5913
Group 12,Outer_Section_1,2_1 LED 3,63.63089,106.9251,328.382
Group 12,Outer_Section_1,2_1 LED 4,83.50388,50.82507,312.8752
Group 12,Outer_Section_1,2_1 Speaker 1,75.87488,115.6251,319.0394
Group 12,Outer_Section_1,2_1 Speaker 2,56.22443,190.1251,334.0073
Group 12,Outer_Section_2,2_1 LED 1,21.26898,170.5251,308.9918
Group 12,Outer_Section_2,2_1 LED 2,27.75488,139.5251,306.0966
Group 12,Outer_Section_2,2_1 LED 3,44.69946,105.6251,297.9528
Group 12,Outer_Section_2,2_1 LED 4,67.15248,54.2251,286.4959
Group 12,Outer_Section_2,2_1 Speaker 1,58.13242,85.7251,291.2748
Group 12,Outer_Section_2,2_1 Speaker 2,36.36063,147.5251,302.0715
Group 12,Inner_Section,2_1 LED 1,95.70912,69.80005,272.4463
Group 12,Inner_Section,2_1 LED 2,141.7209,49.80002,268.9171
Group 12,Inner_Section,2_1 LED 3,108.7178,15.00006,293.6648
Group 12,Inner_Section,2_1 LED 4,132.3015,10.90002,253.953
Group 12,Inner_Section,2_1 Speaker 1,127.3174,31.90002,267.1998
Group 12,Inner_Section,2_1 Speaker 2,109.4455,58.60004,276.1774
Group 13,Outer_Section_1,2_1 LED 1,7.476563,175.3251,273.2745
Group 13,Outer_Section_1,2_1 LED 2,14.37402,147.3251,271.5789
Group 13,Outer_Section_1,2_1 LED 3,32.49689,65.72507,266.5787
Group 13,Outer_Section_1,2_1 LED 4,56.62964,93.02509,259.2978
Group 13,Outer_Section_1,2_1 Speaker 1,47.289,106.5251,262.2899
Group 13,Outer_Section_1,2_1 Speaker 2,23.55844,170.425,269.1486
Group 13,Outer_Section_2,2_1 LED 1,0,192.2251,233.1951
Group 13,Outer_Section_2,2_1 LED 2,7.093811,85.7251,232.8383
Group 13,Outer_Section_2,2_1 LED 3,25.83603,124.3251,231.3654
Group 13,Outer_Section_2,2_1 LED 4,50.91159,37.52509,228.7931
Group 13,Outer_Section_2,2_1 Speaker 1,40.77429,85.7251,229.9909
Group 13,Outer_Section_2,2_1 Speaker 2,16.57245,141.8251,232.1937
Group 13,Inner_Section,2_1 LED 1,82.61516,77.00006,226.0079
Group 13,Inner_Section,2_1 LED 2,126.7948,27.90005,239.3383
